BIOS reset vector jumps to F000:E05B
BIOS loaded from ami_8088_bios_31jan89.bin (8192 bytes)
Reset vector bytes: EA 5B E0 00 F0
IF=0 Shadow=0
index: 178 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.251 ms]
index: 179 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.264 ms]
index: 180 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.418 ms]
index: 181 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.452 ms]
index: 182 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.465 ms]
index: 183 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.476 ms]
index: 184 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.485 ms]
index: 185 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.495 ms]
index: 186 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.504 ms]
index: 187 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.517 ms]
index: 188 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.529 ms]
index: 189 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.542 ms]
index: 190 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.554 ms]
index: 191 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.564 ms]
index: 192 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.577 ms]
index: 193 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.586 ms]
index: 194 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.596 ms]
index: 195 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.606 ms]
index: 196 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.618 ms]
index: 197 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.632 ms]
index: 198 OUT port 0x0043, size 1, value 0x40  # forced_out [     2.668 ms]
index: 199 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.688 ms]
index: 200 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     2.742 ms]
index: 201 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.148 ms]
index: 202 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.265 ms]
index: 203 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.348 ms]
index: 204 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.422 ms]
index: 205 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.447 ms]
index: 206 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.461 ms]
index: 207 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.474 ms]
index: 208 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.489 ms]
index: 209 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.502 ms]
index: 210 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.516 ms]
index: 211 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.531 ms]
index: 212 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.544 ms]
index: 213 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.560 ms]
index: 214 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.575 ms]
index: 215 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.603 ms]
index: 216 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.616 ms]
index: 217 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.629 ms]
index: 218 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.642 ms]
index: 219 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.655 ms]
index: 220 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.667 ms]
index: 221 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.681 ms]
index: 222 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.694 ms]
index: 223 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.707 ms]
index: 224 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.720 ms]
index: 225 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.736 ms]
index: 226 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.749 ms]
index: 227 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.761 ms]
index: 228 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.774 ms]
index: 229 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.786 ms]
index: 230 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.800 ms]
index: 231 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.814 ms]
